date1,province_code,influenza,influenza_death,dengue_fever_death,dengue_fever,diarrhoea,diarrhoea_death
1/15/1997,15,4334,0,0,77,827,0
1/15/1997,30,2241,0,0,77,993,0
1/15/1997,27,2001,0,0,77,722,0
1/15/1997,3,467,0,0,77,232,0
1/15/1997,29,631,0,0,77,267,0
1/15/1997,25,613,0,0,77,428,0
1/15/1997,16,621,0,0,77,189,0
1/15/1997,7,407,0,0,77,236,0
1/15/1997,31,91,0,0,77,100,0
1/15/1997,24,42,0,0,77,124,0
1/15/1997,4,1779,0,0,77,512,0
1/15/1997,20,940,0,0,77,741,0
1/15/1997,13,443,0,0,77,286,0
1/15/1997,9,1152,0,0,77,457,0
1/15/1997,8,1251,0,0,77,1218,0
1/15/1997,11,345,0,0,5,428,0
1/15/1997,6,117,0,0,2,456,0
1/15/1997,15,517,0,0,77,1848,0
1/15/1997,10,2703,0,0,77,1755,0
1/15/1997,2,2241,0,0,77,993,0
1/15/1997,17,899,0,0,77,3414,0
1/15/1997,12,2470,0,0,77,4741,0
1/15/1997,19,608,0,0,77,1915,0
1/15/1997,22,6482,0,0,77,3671,0
1/15/1997,23,4928,0,0,77,2354,0
1/15/1997,21,3815,0,0,77,1371,0
1/15/1997,38,662,0,0,7,550,0
1/15/1997,26,601,0,0,77,489,0
1/15/1997,45,346,0,0,2,555,0
1/15/1997,32,5,0,0,77,321,0
1/15/1997,49,2475,0,0,23,1596,0
1/15/1997,28,986,0,0,73,751,0
1/15/1997,40,415,0,0,153,261,0
1/15/1997,56,365,0,0,43,209,0
1/15/1997,42,283,0,0,163,274,0
1/15/1997,43,524,0,0,624,396,0
1/15/1997,61,2747,0,0,44,828,0
1/15/1997,35,1218,0,0,77,869,0
1/15/1997,41,1465,0,0,7,481,0
1/15/1997,37,2050,0,0,10,705,0
1/15/1997,55,2241,0,0,77,993,0
1/15/1997,34,390,0,0,77,156,0
1/15/1997,57,775,0,0,205,203,0
1/15/1997,48,382,0,0,111,265,0
1/15/1997,36,1213,0,0,29,843,0
1/15/1997,59,329,0,0,77,2132,0
1/15/1997,60,5,0,0,159,338,0
1/15/1997,52,2192,0,1,170,2647,0
1/15/1997,62,171,0,2,286,273,0
1/15/1997,46,646,0,0,110,1548,0
1/15/1997,39,10,0,0,214,4561,0
1/15/1997,63,891,0,1,26,1058,0
1/15/1997,51,12,0,0,180,1756,0
1/15/1997,64,676,0,0,25,846,0
1/15/1997,54,256,0,0,341,1056,0
2/15/1997,15,2501,0,0,77,1513,0
2/15/1997,27,1875,0,0,77,861,0
2/15/1997,3,99,0,0,77,21,0
2/15/1997,29,1302,0,0,77,971,0
2/15/1997,25,821,0,0,77,577,0
2/15/1997,16,383,0,0,77,520,0
2/15/1997,7,504,0,0,77,196,0
2/15/1997,31,154,0,0,77,119,0
2/15/1997,24,144,0,0,77,133,0
2/15/1997,4,1070,0,0,77,427,0
2/15/1997,20,785,0,0,77,693,0
2/15/1997,13,807,0,0,77,169,0
2/15/1997,9,916,0,0,77,474,0
2/15/1997,8,2063,0,0,1,2023,0
2/15/1997,11,565,0,0,77,776,0
2/15/1997,6,277,0,0,1,742,0
2/15/1997,15,816,0,0,77,1822,0
2/15/1997,10,252,0,0,77,1496,0
2/15/1997,2,2041,0,0,77,993,0
2/15/1997,17,732,0,0,77,2672,0
2/15/1997,12,2619,0,0,77,4419,0
2/15/1997,19,807,0,0,77,1909,0
2/15/1997,22,8443,0,0,77,4944,0
2/15/1997,23,2764,0,0,77,2622,0
2/15/1997,21,4274,0,0,77,1619,0
2/15/1997,38,1297,0,0,2,782,0
2/15/1997,26,704,0,0,77,551,0
2/15/1997,45,479,0,0,15,756,0
2/15/1997,32,2,0,0,2,407,0
2/15/1997,49,2324,0,0,15,1624,0
2/15/1997,28,1020,0,0,33,698,0
